Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13
gbgene18399	4715.59697275168	5.45485254342086	0.658315049311855	8.31135341690839	9.46166725609318e-17	1.23834301047748e-12
gbgene7672	57571.7366124282	-4.45184190997117	0.944482997496356	-7.39172150446807	1.44939858981717e-13	1.89697287435272e-09
gbgene2487	98.9670633142126	-1.037944846473	0.854426877024591	-7.23864656816721	4.53184286730744e-13	5.93127594473197e-09
gbgene15915	36590.6891564501	-4.41881031436448	0.944946460207646	-7.18695788897436	6.62508327618342e-13	8.67090899186887e-09
gbgene12445	113.109140929474	5.68053353703184	0.751167435929255	7.14650515577905	8.90150478034725e-13	1.16502894565185e-08
gbgene7693	9930.18866504308	-4.07973482961323	0.953212833176991	-7.12424697712552	1.04651244120568e-12	1.36967548305e-08
gbgene5076	22887.5020773859	-4.30913338209868	0.947609408577577	-7.08304785907719	1.41017946094468e-12	1.8456428784844e-08
gbgene6642	1715.38392130346	-5.38382471364449	0.774016262230391	-7.0490719692955	1.8011498119238e-12	2.35734487384587e-08
gbgene11933	577.794238259101	3.28551091087608	0.466353321835443	7.04150754023372	1.90170922494037e-12	2.48895703360195e-08
gbgene9359	3488.3107711947	-4.21865882936744	0.94986407235254	-6.91352924625315	4.72742158476528e-12	6.1872493701408e-08
gbgene14984	9604.30924322949	3.83754736947264	0.555337900569569	6.91345118830843	4.73002481334445e-12	6.19065647570521e-08
gbgene15509	4531.43980328606	-3.82330684908519	0.958380040468845	-6.8702884073652	6.40722342149465e-12	8.3857740140522e-08
gbgene8521	171514.135264443	-4.35884807944722	0.945287153604113	-6.74040285467488	1.57948079541181e-11	2.06722446503498e-07
gbgene8756	625.023215810964	2.93382173311342	0.439613394223145	6.67104457716643	2.53989051889183e-11	3.32420871112563e-07
gbgene15500	9757.08763389127	-4.1896380433218	0.949637504352637	-6.61310402190457	3.76343797858895e-11	4.92558762637722e-07
gbgene17373	988.413124057892	3.09485499744328	0.468486780289702	6.60470628481159	3.98306234994468e-11	5.21303200360759e-07
gbgene15499	2485.66835885616	-4.35294414763747	0.94538139065341	-6.56777189670226	5.10736975589445e-11	6.68452553651465e-07
gbgene11357	25993.4001881401	-4.57487865411485	0.937486152576933	-6.566550014459	5.14943569117307e-11	6.73958143260731e-07
gbgene12463	2793.52349293729	-3.94830637541172	0.601690986580354	-6.56644231528429	5.15315968011982e-11	6.74445538934082e-07
gbgene15504	2678.7065454613	-4.22301687606804	0.948807471519226	-6.52934755980857	6.60568040704404e-11	8.64551451673924e-07
gbgene5757	4799.00312746997	-4.20886015935002	0.948792449805555	-6.47620079809014	9.40608565830164e-11	1.23106849095852e-06
gbgene15147	1195.58991897036	-5.22788091455306	0.834816480420856	-6.46229194117561	1.03128888725174e-10	1.34975089563507e-06
gbgene1080	4544.35401282374	3.43014127980078	0.531754003357345	6.45199534810853	1.10386968441752e-10	1.44474464296564e-06
gbgene9384	31841.4483900588	-4.20513691542158	0.948547180380833	-6.4363165405695	1.22407625569808e-10	1.60207100345765e-06
gbgene17286	9275.08053488834	-4.31607525730451	0.945310584690216	-6.41848449436745	1.37637622972377e-10	1.80140120946247e-06
gbgene7683	11488.4300506305	-4.68673539645646	0.931440841359586	-6.40809509579549	1.47348998006741e-10	1.92850368591223e-06
gbgene9382	2749.07602693586	-3.85230245931133	0.957323952738901	-6.40219283921317	1.53161044291128e-10	2.00457174768228e-06
gbgene16793	1293.94658519935	-5.22291642853362	0.875788208719579	-6.36504529896628	1.95232108280741e-10	2.55519783317834e-06
gbgene15534	2424.17782811327	-3.72819287717359	0.959724169342554	-6.3230694773894	2.56417937346969e-10	3.35599796399713e-06
gbgene17833	39734.8034248527	-4.19895280882022	0.948243013407887	-6.32079425465191	2.60222304220056e-10	3.4057895176321e-06
gbgene13284	119968.8924192	-4.22159171222972	0.947522323633039	-6.3125176535968	2.74532133659572e-10	3.59307656533648e-06
gbgene8288	3174.0277726001	2.84057164096348	0.451207187517154	6.29555114827512	3.06309534237972e-10	4.00897918410658e-06
gbgene5761	4995.89374793627	-3.90750332803148	0.955792488027389	-6.29461580894738	3.08162137822842e-10	4.03322605982535e-06
gbgene7681	13332.0874457599	-3.14693830862232	0.96737282290769	-6.23674154202565	4.4677924092422e-10	5.84744670521619e-06
gbgene18912	98627.3561671172	-4.88501001739405	0.91499535076574	-6.23098506160504	4.63511309898053e-10	6.06643602394572e-06
gbgene19283	4220.45200805232	3.7382067264791	0.604096381747217	6.19285344986196	5.90846606361887e-10	7.73300038406437e-06
gbgene15749	29425.4337340135	-4.63680144870826	0.930048106197058	-6.17377547652639	6.66782132053383e-10	8.72684454431468e-06
gbgene1837	31528.8638141986	-4.8113423650659	0.791961050626086	-6.17366021178087	6.67268667671883e-10	8.73321232248961e-06
gbgene7689	1179.48348089001	4.45988177164742	0.726758586418415	6.16484981798553	7.05500663846316e-10	9.23359268842059e-06
gbgene14858	18717.9117518544	-4.218305186055	0.946798874061112	-6.15012020356113	7.74242459527917e-10	1.01332853103014e-05
gbgene7125	185701.914354944	-4.0227707408618	0.952410732233955	-6.14516093516938	7.98824795417843e-10	1.04550189224287e-05
gbgene11967	2659.73190106027	-5.04530720246753	0.875716833474217	-6.14185403715439	8.15637918278184e-10	1.06750690744249e-05
gbgene15506	1878.30193492481	-4.45047396502969	0.938793287921747	-6.10712990079452	1.01438677860549e-09	1.32762941583887e-05
gbgene11360	40568.961247838	-4.37472293562128	0.940705760163849	-6.08334599643723	1.17699969750515e-09	1.54045720409474e-05
gbgene10081	1742.01712208312	-3.74893584499951	0.618066607732829	-6.07013850820277	1.27799978181397e-09	1.67264611443812e-05
gbgene9996	9553.31848820388	2.28906603812778	0.379460821348796	6.03242862699151	1.61513686286405e-09	2.11389112611647e-05
gbgene2941	63162.313282269	-4.32459109582473	0.941734759018913	-5.99309641616871	2.05882701561695e-09	2.69459279803946e-05
gbgene15166	96.4039201725549	-2.63553686549448	0.441493324288086	-5.95564787447586	2.59043547924014e-09	3.39036195522949e-05
gbgene15505	2824.71998914404	-3.83996522903219	0.956571586424253	-5.94872050738279	2.70246638912642e-09	3.53698801008866e-05
